title,author,isbn,totalcheckouts
"Heartsick /","Cain, Chelsea.","0312368461 | 9780312368463",49
"The K & W guide to colleges for students with learning disabilities or attention deficit hyperactivity order /","Kravets, Marybeth.","0375766332 | 9780375766336",18
"Harvesting profits on Wall Street :","Muhlenkamp, Ron.","0965301532 | 9780965301534",11
"Great bustard :","Hall, Kirsten.","1597163902 (library binding) | 9781597163903 (library binding)",31
"Baby sea turtle /","Lang, Aubrey.","1550417282 (bound) : | 1550417460 (pbk.) : | 9781550417289 (bound) | 9781550417463 (pbk.)",56
"My pony Jack at the horse show /","Meister, Cari.","0670059196 (hbk.) | 9780670059195 (hbk.)",113
"Rose and Riley come and go /","Cutler, Jane.","0374363412 | 9780374363413",95
"Stinky riddles /","Hall, Katy.","0803729286 | 9780803729285",39
"I'm a duck! /","Sloat, Teri.","0399242740 | 9780399242748",51
"Asbury Park's Glory Days","Pike, Helen C.","0813540879 | 9780813540870",7
"How to read the Bible :","Kugel, James L.","074323586X | 9780743235860",30
"Life's healing choices :","Baker, John.","1416543953 | 9781416543954 (hardcover)",20
"Become a better you :","Osteen, Joel.","0743296885 | 9780743296885",19
"Cold tangerines :","Niequist, Shauna.","0310273609 | 9780310273608",23
"Splay anthem /","Mackey, Nathaniel,","0811216527 (alk. paper) | 9780811216524 (alk. paper)",
"Miyazaki's spirited away.","Oniki, Yuji.","1569317917 (pbk.) : | 9781569317914 (pbk.)",84
"The wonderful Wizard of Oz /","Chauvel, David.","1582407150 | 9781582407159",76
"Johnny Mutton, he's so him! :","Proimos, James.","0152167668 (pbk.) | 9780152167660 (pbk.)",36
"The strongest man in the world :","Debon, Nicolas,","0888997310 (hardcover) : | 9780888997319 (hardcover) :",24
"Invasion of the road weenies, and other warped and creepy tales /","Lubar, David.","0765314479 (pbk. : acidfree paper) | 0765353253 | 9780765314475 (pbk. : acid-free paper) | 9780765353252",45
"Invasion of the road weenies, and other warped and creepy tales /","Lubar, David.","0765314479 (pbk. : acidfree paper) | 0765353253 | 9780765314475 (pbk. : acid-free paper) | 9780765353252",41
"Invasion of the road weenies, and other warped and creepy tales /","Lubar, David.","0765314479 (pbk. : acidfree paper) | 0765353253 | 9780765314475 (pbk. : acid-free paper) | 9780765353252",70
"Replay :","Creech, Sharon.","0060540214 | 9780060540210",29
"Built to last :","Sullivan, George,","0439517370 (alk. paper) | 9780439517379 (alk. paper)",49
"Comic strips :","Roche, Art.","1579907881 (hbk.) | 9781579907884 (hbk.)",73
"Egypt in spectacular cross-section /","Biesty, Stephen.","0439745373 | 9780439745376",36
"Artist to artist :",,"0399246002 (hbk.) | 9780399246005",52
"The Land of Elyon #4 : Into the mist; /","Carman, Patrick.","0439899524 (trade bdg.) | 9780439899529 (trade bdg.)",52
"How Starbucks saved my life :","Gill, Michael","1592402860 | 9781592402861",38
"Happy accidents :","Meyers, Morton A.","1559708190 (alk. paper) | 9781559708197 (alk. paper)",16
"Poisoned nation :","Schwartz-Nobel, Loretta.","0312327978 | 9780312327972",17
"Alternative cures that really work :","Hoffman, Ronald L.","1594864535 (pbk.) | 9781594864537 (pbk.)",15
"Super-simple creative costumes :","Astroth, Sue,","1571203613 (paper trade : alk. paper) | 9781571203618 (paper trade : alk. paper)",3
"Crazy sexy cancer tips /","Carr, Kris.","1599212315 | 9781599212319",16
"Tell me lies /","Cooper, Patrick.","0385732708 | 0385902875 (lib. bdg.) | 9780385732703 | 9780385902878 (lib. bdg.)",
"Jinx /","Cabot, Meg.","0060837640 (trade bdg.) | 0060837659 (lib. bdg.) | 9780060837648 (trade bdg.) | 9780060837655 (lib. bdg.)",75
"Song of the sparrow /","Sandell, Lisa Ann.","0439918480 | 1428746595 (BWI bdg.) | 9780439918480 | 9781428746596 (BWI bdg.)",36
"Farseed /","Sargent, Pamela.","0765314274 (acidfree paper) | 9780765314277 (acid-free paper)",
"Von Braun :","Neufeld, Michael J.,","0307262928 | 9780307262929",
"Inside the mind of BTK :","Douglas, John E.","0787984841 (cloth) | 9780787984847 (cloth)",25
"The zookeeper's wife :","Ackerman, Diane,","0393061728 (hardcover) | 9780393061727 (hardcover) | 9780393333060 (paperback)",9
"More than friends /","Delinsky, Barbara.","0066214599 (alk. paper) | 9780066214597 (alk. paper)",74
"Hide and seek /","Michaels, Fern.","0758227078 | 9780758227072",38
"Is Grandpa wearing a suit? /","Fried, Amelie,","0978755049 | 9780978755041",22
"Indigo's star /","McKay, Hilary.","0689865635 (hardcover) | 9780689865633 (hardcover)",39
"Permanent Rose /","McKay, Hilary.","1416903720 (hardcover) | 9781416903727 (hardcover)",41
"Saffy's angel /","McKay, Hilary.","0689849338 | 9780689849336",35
"You read to me, I'll read to you :","Hoberman, Mary Ann.","0316017337 (hardcover) : | 9780316017336 (hardcover) :",29
"Ghosthunters and the incredibly revolting ghost /","Funke, Cornelia Caroline.","0439849586 (hardcover) : $16.99 | 9780439849586 (hardcover) : $16.99",65
"Fiona loves the night /","MacLachlan, Patricia.","0060570318 (trade bdg.) | 0060570326 (lib. bdg.) | 9780060570316 (trade bdg.) | 9780060570323 (lib. bdg.)",26
"One beastly beast :","Nix, Garth.","0060843195 (trade bdg.) | 0060843209 (lib. bdg.) | 9780060843199 (trade bdg.) | 9780060843205 (lib. bdg.)",49
"Cowboy & Octopus /","Scieszka, Jon.","0670910589 (reinforced) : | 9780670910588 (reinforced) :",67
"Cowboy & Octopus /","Scieszka, Jon.","0670910589 (reinforced) : | 9780670910588 (reinforced) :",53
"Emmy and the incredible shrinking rat /","Jonell, Lynne.","080508150X (hc. : alk. paper) | 9780805081503 (hc. : alk. paper)",74
"Regarding the bees :","Klise, Kate.","0152057110 (trade bdg.) | 9780152057114 (trade bdg.)",50
"Bleach, Vol. 19 : The black moon rising /","Kubo, Tite.","142151043X (pbk.) | 9781421510439 (pbk.)",61
"Bleach, Vol. 20 : End of hypnosis /","Kubo, Tite.","1421510448 (pbk.) | 9781421510446 (pbk.)",48
"Recess at 20 below /","Aillaud, Cindy Lou,","0882406043 (hardbound : alk. paper) | 0882406094 (softbound : alk. paper) | 9780882406046 (hardbound : alk. paper) | 9780882406091 (softbound : alk. paper)",19
"At the farm /","Schwartz, David M.","1574712209 (pbk.) | 9781574712209 (pbk.)",20
"Tsubasa, vol. 13 /",CLAMP.,"0345485335 (pbk.) | 9780345485335 (pbk.)",21
"Tsubasa, vol. 14 /",CLAMP.,"0345485343 (pbk.) | 9780345485342 (pbk.)",46
"Inside out :","Shivack, Nadia.","0689852169 (trade bdg.) | 1428747516 (BWI bdg.) | 9780689852169 (trade bdg.) | 9781428747517 (BWI bdg.)",7
"Slam /","Hornby, Nick.","0399250484 | 9780399250484",43
"Prom anonymous /","Nelson, Blake,","0670059455 | 9780670059454",46
"Robinson Crusoe /","Defoe, Daniel,","0141439823 (pbk.) : | 9780141439822 (pbk.)",23
"Thirteen reasons why  /","Asher, Jay,","1595141715 | 9781595141712",9
"Thirteen reasons why  /","Asher, Jay,","1595141715 | 9781595141712",75
"Thirteen reasons why  /","Asher, Jay,","1595141715 | 9781595141712",3
"Thirteen reasons why  /","Asher, Jay,","1595141715 | 9781595141712",122
"Cross my heart and hope to spy /","Carter, Ally.","1423100050 | 9781423100058",96
"Breakfast with Buddha :","Merullo, Roland.","1565125525 | 9781565125520",43
"Bloodline :","Wilson, F. Paul","0765317060 | 9780765317063",25
"A free life /","Jin, Ha,","0375424652 | 9780375424656",27
"Run /","Patchett, Ann.","0061340634 (acidfree paper) | 9780061340635 (acid-free paper)",72
"Mozart's sister :","Charbonnier, Rita.","0307346781 | 9780307346780",35
"The gift /","Evans, Richard Paul.","1416550011 | 9781416550013",29
"Pandora's daughter /","Johansen, Iris.","0312368046 | 9780312368043",22
"Home to Holly Springs /","Karon, Jan,","0670018252 | 9780670018253",38
"Home to Holly Springs /","Karon, Jan,","0670018252 | 9780670018253",42
"Cheating at canasta /","Trevor, William,","0670018376 (alk. paper) | 9780670018376 (alk. paper)",22
"The Christmas promise /","VanLiere, Donna,","0312367767 | 9780312367763",23
"Gentlemen of the road /","Chabon, Michael.","0345501748 (alk. paper) | 9780345501745 (alk. paper)",34
"Diamonds, gold, and war :","Meredith, Martin.","1586484737 (hardcover) | 9781586484736 (hardcover)",10
"Jezebel :","Hazleton, Lesley,","0385516142 | 9780385516143",23
"Mother Teresa :","Teresa,","0385520379 (alk. paper) | 9780385520379 (alk. paper)",37
"Arsenals of folly :","Rhodes, Richard.","0375414134 | 9780375414138",11
"Gomorrah /","Saviano, Roberto,","0374165270 (hardcover : alk. paper) | 9780374165277 (hardcover : alk. paper)",12
"Calcium /","Farndon, John.","0761408886 (lib. bdg.)",8
"Plato's Republic :","Blackburn, Simon,","087113957X | 9780871139573",25
"A matter of life and death :","Altea, Rosemary.","1585425532 | 9781585425532",25
"If I did it :","Simpson, O. J.,","0825305888 | 9780825305887",33
"Tree of smoke /","Johnson, Denis,","0374279128 (hardcover : alk. paper) | 9780374279127 (hardcover : alk. paper)",37
"The crow /","Croggon, Alison,","0763634093 | 9780763634094 (hardcover : alk. paper)",30
"Sure fire /","Higgins, Jack,","039924784X | 9780399247842",46
"Choices /","Jacobs, Deborah Lynn.","1596432179 | 9781596432178",41
"Cowboy stories /",,"0811854183 | 9780811854184",3
Nightrise.,"Horowitz, Anthony,","0439680018 (trade bdg.) | 9780439680011 (trade bdg.)",72
"Vampire academy /","Mead, Richelle.","159514174X (pbk.) | 9781595141743 (pbk.)",47
"Vampire academy /","Mead, Richelle.","159514174X (pbk.) | 9781595141743 (pbk.)",61
"Inner circle :","Brian, Kate,","1416950419 (pbk.) | 9781416950417 (pbk.)",16
"Prom nights from hell /",,"006125309X (pbk. bdg.) | 0061253103 (trade bdg.) | 142874651X (BWI bdg.) | 9780061253096 (pbk. bdg.) | 9780061253102 (trade bdg.) | 9781428746510 (BWI bdg.)",11
"Playwriting for theater, film, and television /","Shamas, Laura Annawyn.","155870213X (pbk.) :",62
"Maine /","Calhoun, Charles C.,","1878867512 (pbk.) : | 1878867520 :",53
"The stuff of thought :","Pinker, Steven,","0670063274 | 9780670063277",29
"Garden spells /","Allen, Sarah Addison.","0553805487 | 9780553805482",89
"The secret birthday message /","Carle, Eric.","0690723474 : | 0690723482 (lib. bdg.) | 9780690723472 | 9780690723489 (lib. bdg.)",59
"Burn factor /","Mills, Kyle,","0060193344 | 0061098035 (pbk.)",45
"Murder with peacocks /","Andrews, Donna.",0312199295,124
"Bel canto :","Patchett, Ann.","0060188731 (hardcover) | 0060934417 (tradepaper)",57
"Bel canto :","Patchett, Ann.","0060188731 (hardcover) | 0060934417 (tradepaper)",115
"A Christmas beginning /","Perry, Anne.","0345485823 (acidfree paper) | 9780345485823 (acid-free paper)",51
"The snow empress /","Rowland, Laura Joh.","031236542X | 9780312365424",30
"Murder on K Street /","Truman, Margaret,","0345498860 (hardcover : acidfree paper) | 9780345498861 (hardcover : acid-free paper)",35
"Knee high by the Fourth of July /","Lourey, Jess,","0738710350 (alk. paper) | 9780738710358 (alk. paper)",29
"Spider trap /","Maitland, Barry.","0312369085 | 9780312369088",24
"The snake stone /","Goodwin, Jason,","0374299358 (hardcover : alk. paper) | 9780374299354 (hardcover : alk. paper)",29
"The pure in heart :","Hill, Susan,","1585679283 | 9781585679287",39
"Kissing Christmas goodbye :","Beaton, M. C.","0312349114 | 9780312349110",43
"Frill kill /","Childs, Laura.","0425217302 | 9780425217306",49
"Hidden moon /","Church, James,","0312352093 | 9780312352097",31
"Book of the dead /","Cornwell, Patricia Daniels.","0399153934 | 9780399153938",36
"Book of the dead /","Cornwell, Patricia Daniels.","0399153934 | 9780399153938",43
"Candy cane murder.",,"0758221983 | 9780758221988",62
"The tomb of Zeus /","Cleverly, Barbara.","0385339909 (trade pbk.) | 9780385339902 (trade pbk.)",27
"False charity /","Heley, Veronica.","0727865277 (hbk.) | 9780727865274 (hbk.)",35
"Chat /","Mayor, Archer.","0446582581 | 9780446582582",30
"The Firebird /",Demi.,"0805032444 (acidfree paper) :",57
"Focus on the good stuff :","Robbins, Mike,","0787988790 (cloth) | 078799698X | 9780787988791 (cloth) | 9780787996987",37
"The surprise of Germantown, or, The battle of Cliveden :","McGuire, Thomas J.",0939631776,12
"Interred with their bones /","Carrell, Jennifer Lee.","0525949704 (hardcover) | 9780525949701 (hardcover)",58
"Billy Hooten, Owlboy /","Sniegoski, Tom.","0385904029 (lib. bdg. : alk. paper) | 0440421802 (trade : alk. paper) | 1428750940 (BWI bdg.) | 9780385904025 (lib. bdg. : alk. paper) | 9780440421801 (trade : alk. paper) | 9781428750944 (BWI bdg.)",25
"Picture perfect /","Picoult, Jodi,","0425185508 | 9780425185506",29
"The magnificent Ambersons /","Tarkington, Booth,","0375752501 | 9780375752506",18
"A picture book of John Hancock /","Adler, David A.","0823420051 (hardcover) | 9780823420056 (hardcover)",25
"My grandpa had a stroke /","Butler, Dori Hillestad.","1591478065 (alk. paper) | 1591478073 (pbk. : alk. paper) | 9781591478065 (alk. paper) | 9781591478072 (pbk. : alk. paper)",6
"Good enough to eat /","Cole, Brock.","0374327378 | 9780374327378",35
"Mark Rothko :","Breslin, James E. B.,","0226074056 (acidfree paper)",41
"Iron thunder :","Avi,","1423104463 | 9781423104469",45
"The White Swan express :","Okimoto, Jean Davies.","0618164537 (alk. paper) | 9780618164530 (alk. paper)",23
"The red thread :","Lin, Grace","0807569224 | 9780807569221",31
"Ooze slingers from outer space /","Hoena, B. A.","1598893157 (hbk.) | 1598894102 (pbk.) | 9781598893151 (hbk.) | 9781598894103 (pbk.)",102
"The super-powered sneeze /","Nickel, Scott.","1598893165 (hbk.) | 1598894110 (pbk.) | 9781598893168 (hbk.) | 9781598894110 (pbk.)",91
"Double trouble /","Nickel, Scott.","1598893149 (hbk.) | 1598894099 (pbk.) | 9781598893144 (hbk.) | 9781598894097 (pbk.)",84
"A nose for danger /","Temple, Bob.","1598890360 | 9781598890365",67
"Hikaru no go, Vol. 04 : Divine illusions /","Hotta, Yumi.","141560052X (BWI bdg.) | 1591166888 (pbk.) | 9781415600528 (BWI bdg.) | 9781591166887 (pbk.)",66
"Hikaru no go, Vol. 05 : Start /","Hotta, Yumi.","1415638659 (BWI bdg.) | 1591166896 (pbk.) | 9781415638651 (BWI bdg.) | 9781591166894 (pbk.)",4
"Hikaru no go, Vol. 06 : The insei exam /","Hotta, Yumi.","1421502755 (pbk.) | 9781421502755 (pbk.)",55
"Hikaru no go, Vol. 07 : The Young lions tournament /","Hotta, Yumi.","1415672830 (BWI bdg.) | 1421506416 (pbk.) | 9781415672839 (BWI bdg.) | 9781421506418 (pbk.)",50
"Hikaru no go, Vol. 08 : The pro test preliminaries, day 4 /","Hotta, Yumi.","1421506424 (pbk.) | 1428700579 (BWI bdg.) | 9781421506425 (pbk.) | 9781428700574 (BWI bdg.)",40
"Hikaru no go, Vol. 09 : The pro test begins /","Hotta, Yumi.","1421510669 (pbk.) | 1428724834 (BWI bdg.) | 9781421510668 (pbk.) | 9781428724839 (BWI bdg.)",38
"Hikaru no go, Vol. 10 : Lifeline /","Hotta, Yumi.","1421510677 (pbk.) | 9781421510675 (pbk.)",39
"Death note, Vol. 08 : Target /","Ohba, Tsugumi.","1421506297 | 1428700528 | 9781421506296 | 9781428700529",61
"Death note, Vol. 09 : Contact /","Ohba, Tsugumi.","1421506300 | 1428700846 | 9781421506302 | 9781428700840",53
"Death note, Vol. 10 : Deletion /","Ohba, Tsugumi.","142151155X | 9781421511559",20
"Artemis Fowl : the graphic novel /",,"0786848812 (hc.) | 0786848820 (pbk.) | 9780786848812 (hc.) | 9780786848829 (pbk.)",68
"End of the world blues /","Grimwood, Jon Courtenay.","0553589962 (trade pbk.) | 9780553589962 (trade pbk.)",22
"The phoenix unchained /","Lackey, Mercedes.","0765315939 | 9780765315939 (hardcover) :",34
"Vorpal blade /","Ringo, John,","1416521291 | 9781416521297",32
"Ten things your student with autism wishes you knew /","Notbohm, Ellen.","1932565361 | 9781932565362",28
"Income investing today :","Lehmann, Richard,","0470128607 (cloth) | 9780470128602 (cloth)",40
"Letters to a young teacher /","Kozol, Jonathan.","0307393712 | 9780307393715",23
"Dark victory :","Sikov, Ed.","0805075488 | 9780805075489",14
"Elton :","Buckley, David,","1556527136 | 9781556527135",12
"An island called home :","Behar, Ruth,","0813541891 (hardcover : alk. paper) | 9780813541891 (hardcover : alk. paper)",16
"Ronnie :","Wood, Ron,","0312366523 | 9780312366520",13
"Sick girl /","Silverstein, Amy.","0802118542 (hardcover : alk. paper) | 9780802118547 (hardcover : alk. paper)",23
"The tenth muse :","Jones, Judith,","0307264955 | 9780307264954",15
"The 50 best sights in astronomy and how to see them :","Schaaf, Fred.","0471696579 (pbk.) | 9780471696575 (pbk.)",19
"Macs for dummies.","Baig, Edward C.","0470048492 (pbk.) | 9780470048498 (pbk.)",23
"Money for nothing :","Ugel, Edward.","0061284173 | 9780061284175",17
"War without death :","Maske, Mark.","1594201412 | 9781594201417",11
"Montana /","Williams, Judith M.",0516224794,17
"Ancient Rome on five denarii a day /","Matyszak, Philip.","050005147X (hbk.) | 9780500051474 (hbk.)",21
"Roman warfare /","Goldsworthy, Adrian Keith.","075382258X (pbk.) | 9780753822586 (pbk.)",27
"The arrival /","Tan, Shaun.","0439895294 (hardcover) : | 0439895308 | 9780439895293 (hardcover) : | 9780439895294 | 9780439895309",37
"Female intelligence /","Heller, Jane.",0312261594,77
"The last secret of the temple /","Sussman, Paul.","0871139723 | 9780871139726",28
"The uncommon reader /","Bennett, Alan,","0374280967 | 9780374280963",38
"Mister B. Gone /","Barker, Clive,","0060182989 | 9780060182984",30
"The reunion /","Tanner, Janet.","0727865528 (hbk.) | 9780727865526 (hbk.)",32
"Manless in Montclair :","Edelman, Amy Holman.","0307236951 | 9780307236951",26
"Lord John and the hand of devils /","Gabaldon, Diana.","0385311397 (hardcover) | 9780385311397 (hardcover)",28
"Lord John and the hand of devils /","Gabaldon, Diana.","0385311397 (hardcover) | 9780385311397 (hardcover)",34
"Beethoven was one-sixteenth black :","Gordimer, Nadine.","0374109826 (hardcover : alk. paper) | 9780374109820 (hardcover : alk. paper)",18
"The bad girl /","Vargas Llosa, Mario,","0374182434 (hardcover : alk. paper) | 9780374182434 (hardcover : alk. paper)",23
"Symphony /","Morgan, Jude,","0312369514 | 9780312369514",21
"Protect and defend :","Flynn, Vince,","074327041X | 9780743270410",67
"Trespass :","Martin, Valerie,","0385515456 | 9780385515450",27
"Exit ghost /","Roth, Philip.","0618915478 | 9780618915477",10
"The heir /","Bradford, Barbara Taylor,","0312354622 | 9780312354626",48
"Rhett Butler's people /","McCaig, Donald.","0312262515 | 9780312262518",24
"Everlasting /","Woodiwiss, Kathleen E.","0060545526 (hbk.) | 9780060545529 (hbk.)",34
"The big book of diabetic desserts :","Mills, Jackie,","1580402747 (alk. paper) | 9781580402743 (alk. paper)",14
"Self-help skills for people with autism :",,"1890627410 | 9781890627416",20
"Epic rivalry :","Hardesty, Von,","1426201192 (hardcover : alk. paper) | 9781426201196 (hardcover : alk. paper)",15
"Ultralongevity :","Liponis, Mark,","0316017280 | 9780316017282",19
"The body mind soul solution :","Livingstone, Bob.","1933648546 (trade pbk.) : | 9781933648545 (trade pbk.) :",21
"They can't find anything wrong! :","Clarke, David D.,","1591810647 | 9781591810643",15
"How to cook everything vegetarian :","Bittman, Mark.","0764524836 | 9780764524837",87
"Jane's aircraft recognition guide /","Endres, Günter G.,","0061346195 | 9780061346194",25
"Skinny bitch :","Freedman, Rory.","0762424931 | 9780762424931",76
"Stone cold ","Baldacci, David.","0446195103 (lg. print) | 9780446195102 (lg. print)",84
"The last summer (of you and me) ","Brashares, Ann.","0786299649 (lg. print : alk. paper) | 9780786299645 (lg. print : alk. paper)",62
"The gift ","Evans, Richard Paul.","1602850666 (library binding : alk. paper) | 9781602850668 (library binding : alk. paper)",49
"Where angels go ","Macomber, Debbie.","1602850593 (alk. paper) | 9781602850590 (alk. paper)",71
"The race ","Patterson, Richard North.","1602850879 (lib. bdg. : alk. paper) | 9781602850873 (lib. bdg. : alk. paper)",41
"Flashpoint /","Brockmann, Suzanne.",0345462327,77
"The Saturday wife ","Ragen, Naomi.","0786297247 (alk. paper) | 9780786297245 (alk. paper)",72
"Become a better you :","Osteen, Joel.","1597225894 (lg. print : hardcover : alk. paper) | 9781597225892 (lg. print : hardcover : alk. paper)",44
"The orc king /","Salvatore, R. A.,","0786943408 | 9780786943401",23
"The vixen diaries /","Steffans, Karrine,","0446582263 | 9780446582261",17
"Heartsick ","Cain, Chelsea.","0786298251 (U.S. hardcover : large print : alk. paper) | 9780786298259 (U.S. hardcover : large print : alk. paper)",37
"Play dead ","Rosenfelt, David.","0786298219 (lg. print : alk. paper) | 9780786298211 (lg. print : alk. paper)",39
"Zen and the art of faking it /","Sonnenblick, Jordan.","0439837073 | 9780439837071",42
"The salamander spell /","Baker, E. D.","1599900181 | 9781599900186",48
"Interworld /","Gaiman, Neil.","0061238961 (trade bdg.) | 006123897X (lib. bdg.) | 9780061238963 (trade bdg.) | 9780061238970 (lib. bdg.)",46
"Secret of the sirens /","Golding, Julia.","0761453717 | 9780761453710",82
"Book of a thousand days /","Hale, Shannon.","1599900513 (BWI bdg.) : | 9781599900513 (BWI bdg.) :",54
"Astrobiology :","Plaxco, Kevin W.,","0801883660 (hardcover : alk. paper) | 0801883679 (pbk. : alk. paper) | 9780801883668 (hardcover : alk. paper) | 9780801883675",18
"Aristotle :","Anderson, Margaret J.","0766020967 | 9780766020962",27
"Ethan Allen /","Price Hossell, Karen,","1403450773 (lib. bdg.) | 1403450846 (pbk.) | 9781403450777 (lib. bdg.) | 9781403450845 (pbk.)",10
"Neanderthals at work :","Bernstein, Albert J.","0471527270 (cloth) :",13
"Franklin Delano Roosevelt :","Haugen, Brenda.","0756515866 (hard cover) | 9780756515867 (hard cover)",23
"Phineas L. MacGuire-- gets slimed! /","Dowell, Frances O'Roark.","1416901965 | 9781416901969",23
"Peter and the secret of Rundoon /","Barry, Dave.","0786837888 | 9780786837885",58
"No castles here /","Bauer, A. C. E.","0375839216 (trade) | 0375939210 (lib. bdg.) | 9780375839214 (trade) | 9780375939211 (lib. bdg.)",31
"The last polar bears /","Horse, Harry.","156145379X (hc.) | 9781561453795 (hc.)",45
"Jamie's Italy /","Oliver, Jamie,","1401301959 | 9781401301958",35
"Nigella express :","Lawson, Nigella,","1401322433 | 9781401322434",44
"The high king's tomb /","Britain, Kristen.","0756402662 (hardcover) : | 9780756402662 (hardcover) :",38
"Natural Ordermage /","Modesitt, L. E.","076531813X | 9780765318138",22
"Star wars : Death Star /","Reaves, Michael.","0345477421 (hardcover : alk. paper) | 9780345477422 (hardcover : alk. paper)",36
"Show and tell /","Munsch, Robert N.,","1550371959 | 1550371975 (pbk.) | 9781550371956 | 9781550371970 (pbk.)",61
"Columbus Day /","Ansary, Mir Tamim.","1403488835 | 1403488967 (pbk.) | 9781403488831 | 9781403488961 (pbk.)",38
"Celebrate Columbus Day /","Mattern, Joanne,","0766025802 | 9780766025806",9
"Aqua :","Dunlop, Beth,","0847829723 | 9780847829729",8
"Dream homes Greater Philadelphia.","Carabet, Brian G.","1933415339 : HRD | 9781933415338 : HRD",20
"I dare you :","Meyer, Joyce,","0446531979 | 9780446531979",64
"Idaho Falls /","Hathaway, William.","0738548707 (pbk.) | 9780738548708 (pbk.)",
"The palace of the Snow Queen :","Sjoholm, Barbara,","1593761597 | 9781593761592",13
"Tony Bennett in the studio :","Sullivan, Robert,","1402747675 | 9781402747670",
"Travels with Herodotus /","KapusÌ?cinÌ?ski, Ryszard.","1400043387 | 9781400043385",14
"The world in a city :","Berger, Joseph,","0345487389 (hardcover : alk. paper) | 9780345487384 (hardcover : alk. paper)",15
"Cherished thoughts with love /","Geddes, Anne.","0740755730 | 9780740755736",5
"Children also grieve :","Goldman, Linda,","1843108089 (hardcover : alk. paper) | 9781843108085 (hardcover : alk. paper)",35
"The shadow companion /","Gilman, Laura Anne.","0060772859 (trade bdg.) | 0060772867 (lib. bdg.) | 9780060772857 (trade bdg.) | 9780060772864 (lib. bdg.)",
"1621 :","Grace, Catherine O'Neill,","0792270274 | 9780792270270",14
"Rosh Hashanah /","Heinrichs, Ann.","1592965806 (library bound : alk. paper) | 9781592965809 (library bound : alk. paper)",10
"Pocket babies and other amazing marsupials /","Collard, Sneed B.","1581960468 (hardcover) : | 9781581960464 (hardcover) :",33
"Elijah of Buxton /","Curtis, Christopher Paul.","0439023440 (trade bdg.) : | 0439023459 (alk. paper) | 9780439023443 (trade bdg.) : | 9780439023450 (alk. paper)",33
"The girls' book :","Foster, Juliana.","0545016290 | 9780545016292",53
"Clarice Bean, don't look now :","Child, Lauren.","0763635367 (reinforced) : | 9780763635367 (reinforced) :",71
"Hairy Hezekiah /","King-Smith, Dick.","1596433183 (hc.) | 9781596433182 (hc.)",21
"Trolls go home! /","MacDonald, Alan,","1599900777 (hardcover) : | 1599900785 (pbk.) | 9781599900773 (hardcover) : | 9781599900780 (pbk.)",29
"When fish got feet, sharks got teeth, and bugs began to swarm: a cartoon prehistory of life long before dinosaurs /","Bonner, Hannah.","1426300786 (hardcover) | 1426300794 (library binding) | 9781426300783 (hardcover) | 9781426300790 (library binding)",24
"Living color /","Jenkins, Steve,","0618708979 (reinforced) : | 9780618708970 (reinforced) :",24
"Little Red Riding-Hood /","Pinkney, Jerry.","0316013552 | 9780316013550",46
"Being Bee /","Bateson, Catherine,","082342104X (hardcover) | 9780823421046 (hardcover)",23
"Guyaholic :","Mackler, Carolyn.","076362537X | 9780763625375",50
"Many waters /","L'Engle, Madeleine.","0312368615 (pbk.) : | 9780312368616 (pbk.)",35
"Memoirs of a teenage amnesiac /","Zevin, Gabrielle.","0374349460 (hc.) | 9780374349462 (hc.)",66
"The Corps of the Bare-Boned Plane /","Horvath, Polly.","0374315531 (hc.) | 9780374315535 (hc.)",
"Now may you weep /","Crombie, Deborah.","0060525231 (alk. paper)",67
"Caudaha phere /","Śivānī,","8183610331 | 9788183610339",8
"Saphalata ke saÌta aÌdhyaÌtmika niyama /","Chopra, Deepak.","8176210323 | 9788176210324",12
"Paurāṇika kahāniyām /",Savitrī.,"8170118352 | 9788170118350",
"Visva ki sreshtha sahasika kahaniyam :","Sarma, Ganga Prasada.","8131000117 | 9788131000113",9
"Creation in death /","Robb, J. D.,","0399154361 | 9780399154362",13
"The critic  /","May, Peter,","1590584589 | 9781590584583 | 9781681443621",
"Shrouds of holly /","Kingsbury, Kate.","042521849X (trade pbk.) | 9780425218495 (trade pbk.)",29
"Sweetheart deal /","Matturro, Claire Hamner,","0060773251 | 9780060773250",37
"God?ana /","Premacanda,","8170283477 | 9788170283478",16
"Free for all :","Borchert, Don.","1905264127 | 9781905264124",27
"Influencer :",,"007148499X (alk. paper) | 9780071484992 (alk. paper)",33
"Escape /","Jessop, Carolyn,","0767927567 | 9780767927567",25
"Kangaroos have joeys /","Browne, Philippa-Alys.",0689810407,109
"Mexico /","Michener, James A.",0679416498,15
"The conscience of a liberal /","Krugman, Paul R.","0393060691 (hardcover) | 9780393060690 (hardcover)",27
"Country living :",,"1588166368 | 9781588166364",19
"Double cross","Patterson, James,","0316004316 (lg. print) | 9780316004312 (lg. print)",59
"Think big and kick ass in business and life ","Trump, Donald,","006155264X | 9780061552649 (pbk.) :",37
"A piece of chalk /","Ericsson, Jennifer A.","1596430575 | 9781596430570",46
"Punk Farm on tour /","Krosoczka, Jarrett.","0375833439 (trade) | 0375933433 (lib. bdg.) | 9780375833434 (trade) | 9780375933431 (lib. bdg.)",65
"The Recess Queen /","O'Neill, Alexis,","0439206375 | 9780439206372",97
"The magic rabbit /","Cate, Annette.","0763626724 (reinforced) | 9780763626723 (reinforced)",102
